date,sentiment_mean,sentiment_std,tweet_count,positive_ratio,negative_ratio,neutral_ratio,weighted_sentiment_mean
2026-01-05,0.2787,0.5058,120,0.5667,0.2000,0.2333,0.2865
2026-01-06,0.2924,0.4877,120,0.6000,0.1583,0.2417,0.2908
2026-01-07,0.3072,0.4628,120,0.6333,0.1667,0.2000,0.3100
2026-01-08,0.2816,0.4548,120,0.5917,0.1833,0.2250,0.3037
2026-01-09,0.2806,0.5031,119,0.6218,0.2017,0.1765,0.2781
2026-01-10,0.3437,0.4815,120,0.6167,0.1583,0.2250,0.2976
2026-01-11,0.2781,0.5068,120,0.5917,0.2083,0.2000,0.3042
2026-01-12,0.3081,0.5129,120,0.5917,0.1500,0.2583,0.3008
2026-01-13,0.2665,0.5011,120,0.5833,0.2083,0.2083,0.2932
2026-01-14,0.2709,0.4570,120,0.5833,0.1583,0.2583,0.2883
2026-01-15,0.3027,0.4694,120,0.6500,0.1833,0.1667,0.2975
2026-01-16,0.1802,0.4307,120,0.5167,0.2000,0.2833,0.1818
2026-01-17,0.2224,0.4868,120,0.5750,0.1750,0.2500,0.2059
2026-01-18,0.2519,0.4846,120,0.5583,0.2083,0.2333,0.2375
2026-01-19,0.1564,0.5291,120,0.5083,0.2750,0.2167,0.1553
2026-01-20,0.2106,0.5228,120,0.5250,0.2250,0.2500,0.2078
2026-01-21,0.2041,0.5089,99,0.5556,0.2424,0.2020,0.2463
2026-01-22,0.2149,0.5245,120,0.5250,0.2583,0.2167,0.2306
2026-01-23,0.2592,0.4698,119,0.6134,0.1597,0.2269,0.2566
2026-01-24,0.1867,0.4759,120,0.4750,0.2083,0.3167,0.1971
2026-01-25,0.0882,0.5186,120,0.4583,0.3417,0.2000,0.0892
2026-01-26,0.2406,0.4971,120,0.5250,0.2000,0.2750,0.2360
2026-01-27,0.2431,0.5141,120,0.6000,0.1917,0.2083,0.2881
2026-01-28,0.1778,0.4632,120,0.4583,0.1917,0.3500,0.2054
2026-01-29,0.1896,0.5194,120,0.5333,0.2750,0.1917,0.1681
2026-01-30,0.1830,0.5493,120,0.5417,0.2583,0.2000,0.1795
2026-01-31,0.0584,0.4641,120,0.3750,0.3250,0.3000,0.0354
2026-02-01,0.0897,0.5539,120,0.4250,0.3583,0.2167,0.0882
2026-02-02,0.1149,0.5258,120,0.4500,0.2917,0.2583,0.1140
2026-02-03,0.1927,0.4985,120,0.5500,0.2417,0.2083,0.1604
2026-02-04,0.1194,0.5706,120,0.5000,0.3083,0.1917,0.1455
2026-02-05,0.0325,0.5019,120,0.3750,0.3500,0.2750,0.0308
2026-02-06,0.0233,0.5674,120,0.4250,0.4000,0.1750,0.0569
2026-02-07,0.1680,0.5217,120,0.4917,0.2583,0.2500,0.1755
2026-02-08,0.1475,0.4786,120,0.5250,0.2417,0.2333,0.1152
2026-02-09,0.2173,0.5259,119,0.4874,0.2269,0.2857,0.2195
2026-02-10,0.1860,0.5247,120,0.5167,0.2583,0.2250,0.1513
2026-02-11,0.1371,0.5427,120,0.5250,0.2917,0.1833,0.1190
2026-02-12,0.1270,0.5143,120,0.4750,0.2833,0.2417,0.1282
2026-02-13,0.1925,0.4910,120,0.5333,0.2167,0.2500,0.1952
2026-02-14,0.2792,0.4982,100,0.6200,0.2000,0.1800,0.2209
2026-02-15,0.2250,0.5473,120,0.5833,0.2500,0.1667,0.2244
2026-02-16,0.3361,0.4779,120,0.6333,0.1583,0.2083,0.3034
2026-02-17,0.2066,0.5269,120,0.5417,0.2333,0.2250,0.2123
2026-02-18,0.1916,0.5413,120,0.5250,0.2583,0.2167,0.1801
2026-02-19,0.2653,0.4954,120,0.5667,0.2000,0.2333,0.2320
2026-02-20,0.1374,0.5274,120,0.4833,0.2750,0.2417,0.1412
2026-02-21,0.0990,0.5339,120,0.4167,0.2833,0.3000,0.1544
2026-02-22,0.1636,0.4587,120,0.4333,0.2000,0.3667,0.1779
2026-02-23,0.1684,0.5584,120,0.5250,0.2833,0.1917,0.1684
2026-02-24,0.2539,0.5145,120,0.5583,0.2250,0.2167,0.2681
2026-02-25,0.2102,0.5021,120,0.5667,0.2167,0.2167,0.1807
2026-02-26,0.1510,0.5232,120,0.4917,0.2750,0.2333,0.1741
2026-02-27,0.1793,0.4927,120,0.5000,0.2333,0.2667,0.2352
2026-02-28,-0.0246,0.5527,120,0.3917,0.3667,0.2417,-0.0208
